#-----------------------------------------------------------------------------
# Date d'extraction : 27/12/2025 - 19h00 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORPN20MM : Nombre de jours de fortes précipitations (jour(s))
#     ATAV : Ecart de température moyenne journalière (°C)
#     AFF98 : Ecart de nombre de jours de vent fort (jour(s))
#     ARRR : Ecart relatif de cumul de précipitation
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORPN20MM;ATAV;AFF98;ARRR;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;NORPN20MM;ATAV;AFF98;ARRR;
1711;42.1299;9.1452;RCP4.5;H1;17;1.19;-0.3;0.07;
1712;42.1237;9.2413;RCP4.5;H1;13;1.19;-0.5;0.04;
1713;42.1173;9.3374;RCP4.5;H1;12;1.07;-0.17;0.02;
1714;42.1109;9.4334;RCP4.5;H1;12;0.94;0.87;0.08;
1715;42.1044;9.5295;RCP4.5;H1;12;0.93;1.07;0.08;
1779;42.4202;1.9004;RCP4.5;H1;6;0;0;0.08;
1780;42.4206;1.9973;RCP4.5;H1;7;1.28;-0.9;0.06;
1781;42.4208;2.0942;RCP4.5;H1;10;1.24;-1.06;0.06;
1782;42.421;2.1912;RCP4.5;H1;16;1;-0.9;0.03;
1783;42.4211;2.2881;RCP4.5;H1;14;0;0;0.05;
1784;42.4211;2.3851;RCP4.5;H1;21;1.07;-0.63;0.03;
1785;42.421;2.482;RCP4.5;H1;19;1.09;-0.7;0.1;
1786;42.4209;2.5789;RCP4.5;H1;14;1.01;-0.83;0.09;
1787;42.4206;2.6759;RCP4.5;H1;15;1.03;-0.9;0.09;
1788;42.4202;2.7728;RCP4.5;H1;14;1.07;-0.07;0.07;
1789;42.4198;2.8697;RCP4.5;H1;11;0;0;0.11;
1791;42.4186;3.0636;RCP4.5;H1;12;0;0;0.11;
1792;42.4179;3.1605;RCP4.5;H1;11;0;0;0.12;
1848;42.2372;8.576;RCP4.5;H1;10;0;0;0.1;
1849;42.2315;8.6723;RCP4.5;H1;14;1.08;-1.93;0.1;
1850;42.2256;8.7686;RCP4.5;H1;17;1.14;1.1;0.09;
1851;42.2197;8.8649;RCP4.5;H1;19;1.17;1.37;0.08;
1852;42.2137;8.9611;RCP4.5;H1;17;1.26;0;0.07;
1853;42.2076;9.0574;RCP4.5;H1;17;1.26;0.27;0.04;
1854;42.2015;9.1536;RCP4.5;H1;14;1.25;-0.3;0.05;
1855;42.1952;9.2498;RCP4.5;H1;9;1.16;-0.3;0.03;
1856;42.1889;9.346;RCP4.5;H1;13;1.06;-0.23;0.03;
1857;42.1824;9.4421;RCP4.5;H1;11;0.92;0.24;0.08;
1858;42.1759;9.5383;RCP4.5;H1;11;0;0;0.08;
1918;42.4897;1.5116;RCP4.5;H1;10;1.27;-0.66;0.06;
1919;42.4905;1.6087;RCP4.5;H1;14;1.21;-1.04;0.04;
1920;42.4911;1.7057;RCP4.5;H1;15;1.08;0.07;0.04;
1921;42.4916;1.8028;RCP4.5;H1;10;1.14;-0.03;0.03;
1922;42.4921;1.8998;RCP4.5;H1;8;1.16;-0.13;0.04;
1923;42.4924;1.9969;RCP4.5;H1;7;1.21;-0.43;0.05;
1924;42.4927;2.0939;RCP4.5;H1;8;1.18;-1.03;0.05;
1925;42.4929;2.191;RCP4.5;H1;12;1.18;-1.24;0.06;
1926;42.4929;2.2881;RCP4.5;H1;13;1.1;-0.77;0.06;
1927;42.4929;2.3851;RCP4.5;H1;11;1.1;-0.73;0.05;
1928;42.4929;2.4822;RCP4.5;H1;23;1.1;-0.53;0.09;
1929;42.4927;2.5792;RCP4.5;H1;17;1.04;-0.73;0.09;
1930;42.4924;2.6763;RCP4.5;H1;12;0.98;-0.57;0.09;
1931;42.4921;2.7733;RCP4.5;H1;11;1;-0.16;0.13;
1932;42.4916;2.8704;RCP4.5;H1;12;0.99;0.27;0.14;
1933;42.4911;2.9674;RCP4.5;H1;15;0.97;0.03;0.14;
1934;42.4905;3.0645;RCP4.5;H1;12;0.97;-0.53;0.11;
1935;42.4898;3.1615;RCP4.5;H1;11;0;0;0.12;
1991;42.3088;8.5836;RCP4.5;H1;9;0;0;0.07;
1992;42.303;8.6801;RCP4.5;H1;10;0.99;-2.26;0.07;
1993;42.2972;8.7765;RCP4.5;H1;14;1.2;-0.1;0.09;
1994;42.2913;8.8729;RCP4.5;H1;17;1.15;0.1;0.07;
1995;42.2853;8.9693;RCP4.5;H1;17;1.27;-0.17;0.04;
1996;42.2792;9.0656;RCP4.5;H1;15;1.19;-0.5;0;
1997;42.273;9.162;RCP4.5;H1;10;1.23;-0.13;-0.01;
1998;42.2667;9.2583;RCP4.5;H1;12;1.11;-0.56;0.06;
1999;42.2604;9.3546;RCP4.5;H1;12;1.14;-0.34;0.03;
2000;42.2539;9.4509;RCP4.5;H1;13;1.06;0.37;0.08;
2001;42.2474;9.5471;RCP4.5;H1;11;0;0;0.08;
2061;42.5616;1.5106;RCP4.5;H1;11;1.1;-0.67;0.06;
2062;42.5623;1.6078;RCP4.5;H1;14;1.08;-0.63;0.06;
2063;42.5629;1.7049;RCP4.5;H1;16;1.08;-1.17;0.08;
2064;42.5634;1.8021;RCP4.5;H1;10;1.16;0.1;0.03;
2065;42.5639;1.8993;RCP4.5;H1;11;1.12;0.07;0.03;
2066;42.5642;1.9965;RCP4.5;H1;11;1.19;-0.9;0.05;
2067;42.5645;2.0936;RCP4.5;H1;9;1.2;-0.67;0.05;
2068;42.5647;2.1908;RCP4.5;H1;12;1.2;-1.27;0.07;
2069;42.5648;2.288;RCP4.5;H1;9;1.05;-0.4;0.08;
2070;42.5648;2.3852;RCP4.5;H1;8;1;-0.03;0.11;
2071;42.5647;2.4823;RCP4.5;H1;10;1.02;-0.17;0.11;
2072;42.5645;2.5795;RCP4.5;H1;13;1.01;0.17;0.14;
2073;42.5642;2.6767;RCP4.5;H1;12;0.97;0.14;0.13;
2074;42.5639;2.7739;RCP4.5;H1;11;0.97;0.74;0.14;
2075;42.5634;2.8711;RCP4.5;H1;10;0.96;0.44;0.17;
2076;42.5629;2.9682;RCP4.5;H1;10;0.97;0.3;0.17;
2077;42.5623;3.0654;RCP4.5;H1;11;0;0;0.15;
2134;42.3804;8.5913;RCP4.5;H1;7;0;0;0.06;
2135;42.3746;8.6879;RCP4.5;H1;9;1;-0.4;0.06;
2136;42.3688;8.7844;RCP4.5;H1;12;1.15;-1.1;0.05;
2137;42.3629;8.8809;RCP4.5;H1;17;1.15;-0.06;0.07;
2138;42.3568;8.9774;RCP4.5;H1;17;1.27;-0.3;0.05;
2139;42.3507;9.0739;RCP4.5;H1;14;1.2;-0.03;0.01;
2140;42.3446;9.1704;RCP4.5;H1;9;1.22;0;-0.01;
2141;42.3383;9.2668;RCP4.5;H1;15;1.15;-0.13;0.05;
2142;42.3319;9.3632;RCP4.5;H1;15;1.13;-0.16;0.05;
2143;42.3254;9.4596;RCP4.5;H1;14;1.11;-0.8;0.07;
2144;42.3189;9.556;RCP4.5;H1;11;0;0;0.07;
