#-----------------------------------------------------------------------------
# Date d'extraction : 27/12/2025 - 19h01 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP2.6 : Emissions maîtrisées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATAV : Ecart de température moyenne journalière (°C)
#     APN20MM : Ecart de nombre de jours de fortes précipitations (jour(s))
#     AFF98 : Ecart de nombre de jours de vent fort (jour(s))
#     ARRR : Ecart relatif de cumul de précipitation
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATAV;APN20MM;AFF98;ARRR;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;ATAV;APN20MM;AFF98;ARRR;
1715;42.1044;9.5295;RCP2.6;H1;1.19;2;0.6;0.12;
1779;42.4202;1.9004;RCP2.6;H1;0;0;0;0.06;
1780;42.4206;1.9973;RCP2.6;H1;1.54;2;-0.6;0.08;
1781;42.4208;2.0942;RCP2.6;H1;1.48;3;-0.06;0.08;
1782;42.421;2.1912;RCP2.6;H1;1.26;2;0.07;0.08;
1783;42.4211;2.2881;RCP2.6;H1;0;0;0;0.1;
1784;42.4211;2.3851;RCP2.6;H1;1.35;3;-0.1;0.1;
1785;42.421;2.482;RCP2.6;H1;1.29;3;-0.26;0.16;
1786;42.4209;2.5789;RCP2.6;H1;1.21;3;-0.4;0.14;
1787;42.4206;2.6759;RCP2.6;H1;1.24;2;-0.66;0.13;
1788;42.4202;2.7728;RCP2.6;H1;1.3;2;0.2;0.14;
1789;42.4198;2.8697;RCP2.6;H1;0;0;0;0.17;
1791;42.4186;3.0636;RCP2.6;H1;0;0;0;0.16;
1792;42.4179;3.1605;RCP2.6;H1;0;0;0;0.16;
1848;42.2372;8.576;RCP2.6;H1;0;0;0;0.11;
1849;42.2315;8.6723;RCP2.6;H1;1.39;1;-0.16;0.11;
1850;42.2256;8.7686;RCP2.6;H1;1.42;3;1.4;0.14;
1851;42.2197;8.8649;RCP2.6;H1;1.45;3;1.77;0.13;
1852;42.2137;8.9611;RCP2.6;H1;1.49;3;1.57;0.13;
1853;42.2076;9.0574;RCP2.6;H1;1.5;1;1.87;0.09;
1854;42.2015;9.1536;RCP2.6;H1;1.46;2;-0.27;0.1;
1855;42.1952;9.2498;RCP2.6;H1;1.46;1;0.36;0.08;
1856;42.1889;9.346;RCP2.6;H1;1.32;1;-0.3;0.08;
1857;42.1824;9.4421;RCP2.6;H1;1.16;1;0.07;0.13;
1858;42.1759;9.5383;RCP2.6;H1;0;0;0;0.13;
1918;42.4897;1.5116;RCP2.6;H1;1.5;1;-1.26;0.07;
1919;42.4905;1.6087;RCP2.6;H1;1.43;1;-1.27;0.04;
1920;42.4911;1.7057;RCP2.6;H1;1.32;0;-0.26;0.04;
1921;42.4916;1.8028;RCP2.6;H1;1.38;1;0.7;0.03;
1922;42.4921;1.8998;RCP2.6;H1;1.41;1;0.94;0.04;
1923;42.4924;1.9969;RCP2.6;H1;1.46;2;-0.37;0.08;
1924;42.4927;2.0939;RCP2.6;H1;1.4;1;-0.3;0.08;
1925;42.4929;2.191;RCP2.6;H1;1.41;1;-0.4;0.08;
1926;42.4929;2.2881;RCP2.6;H1;1.33;1;-1.3;0.08;
1927;42.4929;2.3851;RCP2.6;H1;1.39;3;0;0.11;
1928;42.4929;2.4822;RCP2.6;H1;1.3;3;-0.03;0.12;
1929;42.4927;2.5792;RCP2.6;H1;1.25;1;-0.47;0.13;
1930;42.4924;2.6763;RCP2.6;H1;1.17;2;-0.33;0.14;
1931;42.4921;2.7733;RCP2.6;H1;1.25;2;0.04;0.19;
1932;42.4916;2.8704;RCP2.6;H1;1.24;3;0.47;0.23;
1933;42.4911;2.9674;RCP2.6;H1;1.23;4;0.26;0.25;
1934;42.4905;3.0645;RCP2.6;H1;1.18;2;-0.33;0.16;
1935;42.4898;3.1615;RCP2.6;H1;0;0;0;0.16;
1991;42.3088;8.5836;RCP2.6;H1;0;0;0;0.1;
1992;42.303;8.6801;RCP2.6;H1;1.25;2;-0.1;0.1;
1993;42.2972;8.7765;RCP2.6;H1;1.45;2;2.17;0.15;
1994;42.2913;8.8729;RCP2.6;H1;1.4;2;2;0.13;
1995;42.2853;8.9693;RCP2.6;H1;1.47;1;0.66;0.1;
1996;42.2792;9.0656;RCP2.6;H1;1.39;1;-1.43;0.05;
1997;42.273;9.162;RCP2.6;H1;1.44;1;-1.17;0.03;
1998;42.2667;9.2583;RCP2.6;H1;1.37;2;0.57;0.11;
1999;42.2604;9.3546;RCP2.6;H1;1.43;2;0.1;0.08;
2000;42.2539;9.4509;RCP2.6;H1;1.33;1;0.44;0.12;
2001;42.2474;9.5471;RCP2.6;H1;0;0;0;0.13;
2061;42.5616;1.5106;RCP2.6;H1;1.37;1;-0.87;0.06;
2062;42.5623;1.6078;RCP2.6;H1;1.34;2;-1;0.06;
2063;42.5629;1.7049;RCP2.6;H1;1.37;3;-1.2;0.05;
2064;42.5634;1.8021;RCP2.6;H1;1.41;0;0.54;0.04;
2065;42.5639;1.8993;RCP2.6;H1;1.36;1;0.67;0.03;
2066;42.5642;1.9965;RCP2.6;H1;1.43;2;-0.1;0.08;
2067;42.5645;2.0936;RCP2.6;H1;1.42;1;-0.2;0.09;
2068;42.5647;2.1908;RCP2.6;H1;1.43;2;-1.04;0.1;
2069;42.5648;2.288;RCP2.6;H1;1.28;1;-0.93;0.1;
2070;42.5648;2.3852;RCP2.6;H1;1.23;2;0.5;0.14;
2071;42.5647;2.4823;RCP2.6;H1;1.26;2;0.13;0.14;
2072;42.5645;2.5795;RCP2.6;H1;1.27;2;0.63;0.19;
2073;42.5642;2.6767;RCP2.6;H1;1.21;2;0.14;0.19;
2074;42.5639;2.7739;RCP2.6;H1;1.22;1;0.2;0.19;
2075;42.5634;2.8711;RCP2.6;H1;1.24;2;0.54;0.23;
2076;42.5629;2.9682;RCP2.6;H1;1.24;2;0.36;0.22;
2077;42.5623;3.0654;RCP2.6;H1;0;0;0;0.21;
2134;42.3804;8.5913;RCP2.6;H1;0;0;0;0.08;
2135;42.3746;8.6879;RCP2.6;H1;1.26;1;0.67;0.07;
2136;42.3688;8.7844;RCP2.6;H1;1.41;3;0.77;0.11;
2137;42.3629;8.8809;RCP2.6;H1;1.4;2;1.8;0.13;
