#-----------------------------------------------------------------------------
# Date d'extraction : 27/12/2025 - 18h56 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATAV : Ecart de température moyenne journalière (°C)
#     APN20MM : Ecart de nombre de jours de fortes précipitations (jour(s))
#     AFF98 : Ecart de nombre de jours de vent fort (jour(s))
#     ARRR : Ecart relatif de cumul de précipitation
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATAV;APN20MM;AFF98;ARRR;
#-----------------------------------------------------------------------------
1848;42.2372;8.576;RCP8.5;H1;0;0;0;0.19;
1849;42.2315;8.6723;RCP8.5;H1;1.35;4;-0.5;0.17;
1850;42.2256;8.7686;RCP8.5;H1;1.4;3;0.07;0.17;
1851;42.2197;8.8649;RCP8.5;H1;1.43;4;0.04;0.15;
1852;42.2137;8.9611;RCP8.5;H1;1.52;2;0.24;0.15;
1853;42.2076;9.0574;RCP8.5;H1;1.53;0;0.8;0.12;
1854;42.2015;9.1536;RCP8.5;H1;1.49;1;0.47;0.1;
1855;42.1952;9.2498;RCP8.5;H1;1.45;1;0.4;0.1;
1856;42.1889;9.346;RCP8.5;H1;1.32;1;0.5;0.1;
1857;42.1824;9.4421;RCP8.5;H1;1.17;2;-0.46;0.15;
1858;42.1759;9.5383;RCP8.5;H1;0;0;0;0.15;
1918;42.4897;1.5116;RCP8.5;H1;1.48;1;-1.73;0.04;
1919;42.4905;1.6087;RCP8.5;H1;1.41;0;-1.44;0.01;
1920;42.4911;1.7057;RCP8.5;H1;1.36;-1;-0.46;0.01;
1921;42.4916;1.8028;RCP8.5;H1;1.42;0;-0.07;0.01;
1922;42.4921;1.8998;RCP8.5;H1;1.44;1;0.2;0.04;
1923;42.4924;1.9969;RCP8.5;H1;1.5;1;-1.53;0.05;
1924;42.4927;2.0939;RCP8.5;H1;1.32;1;-0.63;0.04;
1925;42.4929;2.191;RCP8.5;H1;1.32;0;-0.64;0.05;
1926;42.4929;2.2881;RCP8.5;H1;1.32;0;-1.9;0.02;
1927;42.4929;2.3851;RCP8.5;H1;1.37;1;-1.13;0.07;
1928;42.4929;2.4822;RCP8.5;H1;1.29;4;-2;0.08;
1929;42.4927;2.5792;RCP8.5;H1;1.19;2;-1.87;0.1;
1930;42.4924;2.6763;RCP8.5;H1;1.11;1;-1.97;0.1;
1931;42.4921;2.7733;RCP8.5;H1;1.17;2;-1.76;0.14;
1932;42.4916;2.8704;RCP8.5;H1;1.16;1;-0.96;0.13;
1933;42.4911;2.9674;RCP8.5;H1;1.15;2;-1.4;0.13;
1934;42.4905;3.0645;RCP8.5;H1;1.13;1;-1.7;0.1;
1935;42.4898;3.1615;RCP8.5;H1;0;0;0;0.11;
1991;42.3088;8.5836;RCP8.5;H1;0;0;0;0.15;
1992;42.303;8.6801;RCP8.5;H1;1.2;3;-1.33;0.15;
1993;42.2972;8.7765;RCP8.5;H1;1.47;2;0.17;0.18;
1994;42.2913;8.8729;RCP8.5;H1;1.43;2;0.54;0.15;
1995;42.2853;8.9693;RCP8.5;H1;1.49;1;-0.34;0.12;
1996;42.2792;9.0656;RCP8.5;H1;1.41;1;-1.06;0.05;
1997;42.273;9.162;RCP8.5;H1;1.45;1;-0.07;0.07;
1998;42.2667;9.2583;RCP8.5;H1;1.38;1;0.47;0.11;
1999;42.2604;9.3546;RCP8.5;H1;1.43;2;0.4;0.09;
2000;42.2539;9.4509;RCP8.5;H1;1.34;1;-0.8;0.15;
2001;42.2474;9.5471;RCP8.5;H1;0;0;0;0.15;
2061;42.5616;1.5106;RCP8.5;H1;1.38;0;-1.3;0.02;
2062;42.5623;1.6078;RCP8.5;H1;1.34;1;-1.13;0.02;
2063;42.5629;1.7049;RCP8.5;H1;1.36;1;-1.24;0.01;
2064;42.5634;1.8021;RCP8.5;H1;1.44;0;-0.23;0.01;
2065;42.5639;1.8993;RCP8.5;H1;1.39;0;-0.06;0;
2066;42.5642;1.9965;RCP8.5;H1;1.47;0;-1.47;0.03;
2067;42.5645;2.0936;RCP8.5;H1;1.34;0;-0.53;0.03;
2068;42.5647;2.1908;RCP8.5;H1;1.35;1;-1.17;0.05;
2069;42.5648;2.288;RCP8.5;H1;1.27;1;-1.36;0.03;
2070;42.5648;2.3852;RCP8.5;H1;1.17;1;-0.53;0.08;
2071;42.5647;2.4823;RCP8.5;H1;1.19;1;-1.2;0.07;
2072;42.5645;2.5795;RCP8.5;H1;1.17;1;-1.1;0.11;
2073;42.5642;2.6767;RCP8.5;H1;1.12;1;-1;0.11;
2074;42.5639;2.7739;RCP8.5;H1;1.14;1;-0.66;0.12;
2075;42.5634;2.8711;RCP8.5;H1;1.15;2;-0.56;0.16;
2076;42.5629;2.9682;RCP8.5;H1;1.15;1;-0.6;0.16;
2077;42.5623;3.0654;RCP8.5;H1;0;0;0;0.13;
