#-----------------------------------------------------------------------------
# Date d'extraction : 26/12/2025 - 16h22 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATXHWD : Ecart de nombre de jours d'une vague de chaleur (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATXHWD;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;ATXHWD;
1993;42.2972;8.7765;RCP8.5;H1;16;
1994;42.2913;8.8729;RCP8.5;H1;13;
1995;42.2853;8.9693;RCP8.5;H1;16;
1996;42.2792;9.0656;RCP8.5;H1;12;
1997;42.273;9.162;RCP8.5;H1;13;
1998;42.2667;9.2583;RCP8.5;H1;10;
1999;42.2604;9.3546;RCP8.5;H1;11;
2000;42.2539;9.4509;RCP8.5;H1;6;
2001;42.2474;9.5471;RCP8.5;H1;0;
2061;42.5616;1.5106;RCP8.5;H1;23;
2062;42.5623;1.6078;RCP8.5;H1;22;
2063;42.5629;1.7049;RCP8.5;H1;18;
2064;42.5634;1.8021;RCP8.5;H1;19;
2065;42.5639;1.8993;RCP8.5;H1;17;
2066;42.5642;1.9965;RCP8.5;H1;22;
2067;42.5645;2.0936;RCP8.5;H1;20;
2068;42.5647;2.1908;RCP8.5;H1;20;
2069;42.5648;2.288;RCP8.5;H1;15;
2070;42.5648;2.3852;RCP8.5;H1;11;
2071;42.5647;2.4823;RCP8.5;H1;11;
2072;42.5645;2.5795;RCP8.5;H1;7;
2073;42.5642;2.6767;RCP8.5;H1;7;
2074;42.5639;2.7739;RCP8.5;H1;8;
2075;42.5634;2.8711;RCP8.5;H1;6;
2076;42.5629;2.9682;RCP8.5;H1;6;
2077;42.5623;3.0654;RCP8.5;H1;0;
2134;42.3804;8.5913;RCP8.5;H1;0;
2135;42.3746;8.6879;RCP8.5;H1;7;
2136;42.3688;8.7844;RCP8.5;H1;13;
2137;42.3629;8.8809;RCP8.5;H1;14;
2138;42.3568;8.9774;RCP8.5;H1;16;
2139;42.3507;9.0739;RCP8.5;H1;13;
2140;42.3446;9.1704;RCP8.5;H1;13;
2141;42.3383;9.2668;RCP8.5;H1;11;
2142;42.3319;9.3632;RCP8.5;H1;11;
2143;42.3254;9.4596;RCP8.5;H1;13;
2144;42.3189;9.556;RCP8.5;H1;0;
2203;42.6326;1.4123;RCP8.5;H1;17;
2204;42.6334;1.5096;RCP8.5;H1;19;
2205;42.6341;1.6069;RCP8.5;H1;19;
